,name,country,region,Population (millions),revision_id,article_quality
157,Ali Këlcyra,Albania,SOUTHERN EUROPE,2.8,1069956844,C
158,Belind Këlliçi,Albania,SOUTHERN EUROPE,2.8,1114971095,C
159,Bajram Kelmendi,Albania,SOUTHERN EUROPE,2.8,1098232331,Start
160,Kristo Kirka,Albania,SOUTHERN EUROPE,2.8,1071577370,C
161,Elez Koçi,Albania,SOUTHERN EUROPE,2.8,919356105,Start
162,Ali Riza Kolonja,Albania,SOUTHERN EUROPE,2.8,1095185542,Start
163,Glauk Konjufca,Albania,SOUTHERN EUROPE,2.8,1110511667,Start
164,Xhelal Koprëncka,Albania,SOUTHERN EUROPE,2.8,1106794268,Stub
165,Kryeziu family,Albania,SOUTHERN EUROPE,2.8,1113466121,Start
166,Artur Kuko,Albania,SOUTHERN EUROPE,2.8,1112281132,Stub
167,Xhavid Leskoviku,Albania,SOUTHERN EUROPE,2.8,1080104315,Start
168,Sabit Lulo,Albania,SOUTHERN EUROPE,2.8,1071576324,Stub
169,Gjon Markagjoni,Albania,SOUTHERN EUROPE,2.8,1114419158,C
170,Tefik Mborja,Albania,SOUTHERN EUROPE,2.8,1112281218,Start
171,Fatmir Mediu,Albania,SOUTHERN EUROPE,2.8,1108640753,Stub
172,Hysni Milloshi,Albania,SOUTHERN EUROPE,2.8,1111101481,Start
173,Musa Qazimi,Albania,SOUTHERN EUROPE,2.8,1085455681,GA
174,Mustafa Ndroqi,Albania,SOUTHERN EUROPE,2.8,1091483288,Stub
175,Behxhet Nepravishta,Albania,SOUTHERN EUROPE,2.8,1114419169,Stub
176,Adrian Neritani,Albania,SOUTHERN EUROPE,2.8,1112281129,Start
177,Sali Nivica,Albania,SOUTHERN EUROPE,2.8,1074384873,Start
178,Thoma Orologa,Albania,SOUTHERN EUROPE,2.8,1114419178,Start
179,Bedri Pejani,Albania,SOUTHERN EUROPE,2.8,1080373501,C
180,Pertef Pogoni,Albania,SOUTHERN EUROPE,2.8,1071576384,Stub
181,Kadri Prishtina,Albania,SOUTHERN EUROPE,2.8,1115424613,Start
182,Ymer Prizreni,Albania,SOUTHERN EUROPE,2.8,1114419180,Start
183,Avni Rustemi,Albania,SOUTHERN EUROPE,2.8,1113688253,C
184,Chatin Sarachi,Albania,SOUTHERN EUROPE,2.8,1089622596,C
185,Nebi Sefa,Albania,SOUTHERN EUROPE,2.8,978173646,Stub
186,Eduard Shalsi,Albania,SOUTHERN EUROPE,2.8,1090651886,Start
187,Ylli Vesel Shehu,Albania,SOUTHERN EUROPE,2.8,1002857261,Stub
188,Athanas Shundi,Albania,SOUTHERN EUROPE,2.8,1090001664,B
189,Xhelal Sveçla,Albania,SOUTHERN EUROPE,2.8,1110419834,Start
190,Mehmet Tahsini,Albania,SOUTHERN EUROPE,2.8,1089358942,Stub
191,Ibrahim Temo,Albania,SOUTHERN EUROPE,2.8,1114899959,GA
192,Pavli Terka,Albania,SOUTHERN EUROPE,2.8,1107079359,Start
193,Afrim Tole,Albania,SOUTHERN EUROPE,2.8,1091240960,Stub
194,Sejfi Vllamasi,Albania,SOUTHERN EUROPE,2.8,1073823015,Start
195,Syrja Vlora,Albania,SOUTHERN EUROPE,2.8,1109383587,Start
196,Visarion Xhuvani,Albania,SOUTHERN EUROPE,2.8,1115321286,C
197,Visar Ymeri,Albania,SOUTHERN EUROPE,2.8,1036757024,Stub
198,Abdyl Ypi,Albania,SOUTHERN EUROPE,2.8,1075914314,Stub
199,Xhezair Zaganjori,Albania,SOUTHERN EUROPE,2.8,1106753028,Start
200,Menduh Zavalani,Albania,SOUTHERN EUROPE,2.8,1071577719,GA
201,Said Abadou,Algeria,NORTHERN AFRICA,44.9,1112193748,Stub
202,Tahar Allan,Algeria,NORTHERN AFRICA,44.9,1059626268,Stub
203,Mohamed Seghir Babes,Algeria,NORTHERN AFRICA,44.9,1079379844,Stub
204,Djelloul Baghli,Algeria,NORTHERN AFRICA,44.9,1053461392,Stub
205,Noureddine Bahbouh,Algeria,NORTHERN AFRICA,44.9,1099284595,Stub
206,Lamine Bechichi,Algeria,NORTHERN AFRICA,44.9,1111537825,Stub
207,Bakhti Belaïb,Algeria,NORTHERN AFRICA,44.9,1107713309,Stub
208,Mohamed Belouizdad,Algeria,NORTHERN AFRICA,44.9,1102331624,Start
209,Mourad Benachenou,Algeria,NORTHERN AFRICA,44.9,1091746754,Stub
210,Benaouda Hadj Hacène Bachterzi,Algeria,NORTHERN AFRICA,44.9,1064464792,Stub
211,Souad Bendjaballah,Algeria,NORTHERN AFRICA,44.9,1064463751,Stub
212,Mohammed Saleh Bendjelloul,Algeria,NORTHERN AFRICA,44.9,1064459314,Stub
213,Mohamed Bensalam,Algeria,NORTHERN AFRICA,44.9,1053464158,Stub
214,Said Boualam,Algeria,NORTHERN AFRICA,44.9,1104123484,Start
215,Abdeslam Bouchouareb,Algeria,NORTHERN AFRICA,44.9,1053459025,Stub
216,Brahim Chibout,Algeria,NORTHERN AFRICA,44.9,1053460621,Stub
217,Bouras Djamel,Algeria,NORTHERN AFRICA,44.9,1072064909,Stub
218,Ahmed Djebbar,Algeria,NORTHERN AFRICA,44.9,1112131049,Stub
219,Fatiha Serour,Algeria,NORTHERN AFRICA,44.9,1019766063,Start
220,Mohamed Hassaïne,Algeria,NORTHERN AFRICA,44.9,1098798192,C
221,Ibrahim Boughali,Algeria,NORTHERN AFRICA,44.9,1110540602,Stub
222,Abdenour Keramane,Algeria,NORTHERN AFRICA,44.9,1028900906,Stub
223,Abelkader Khamri,Algeria,NORTHERN AFRICA,44.9,1088927932,Stub
224,Mahmoud Khedri,Algeria,NORTHERN AFRICA,44.9,1102198843,Stub
225,Mohamed Laïchoubi,Algeria,NORTHERN AFRICA,44.9,1053469601,Stub
226,Sassi Lamouri,Algeria,NORTHERN AFRICA,44.9,1053478920,Stub
227,Mohamed Maghlaoui,Algeria,NORTHERN AFRICA,44.9,1053469610,Stub
228,Amar Makhloufi,Algeria,NORTHERN AFRICA,44.9,1053459748,Stub
229,Hacen Mefti,Algeria,NORTHERN AFRICA,44.9,1053461924,Stub
230,Mokhtar Meherzi,Algeria,NORTHERN AFRICA,44.9,1028900891,Stub
231,Mohamed Elias Mesli,Algeria,NORTHERN AFRICA,44.9,1009461580,Stub
232,Azzedine Mihoubi,Algeria,NORTHERN AFRICA,44.9,1031600815,Start
233,Cherif Rahmani,Algeria,NORTHERN AFRICA,44.9,1053461144,Stub
234,Naima Salhi,Algeria,NORTHERN AFRICA,44.9,1113203380,Stub
235,Guillem d'Areny-Plandolit,Andorra,SOUTHERN EUROPE,0.1,1100710928,FA
236,Guillem Areny,Andorra,SOUTHERN EUROPE,0.1,1101200095,Stub
237,Joan Armengol,Andorra,SOUTHERN EUROPE,0.1,1105550472,Stub
238,Francesc Badia Batalla,Andorra,SOUTHERN EUROPE,0.1,1102180575,Stub
239,Josep Maria Beal,Andorra,SOUTHERN EUROPE,0.1,1104772844,Stub
240,Climent Palmitjavila,Andorra,SOUTHERN EUROPE,0.1,1102731108,Stub
241,Antoni Puigdellívol,Andorra,SOUTHERN EUROPE,0.1,1100253414,Start
242,Òscar Ribas Reig,Andorra,SOUTHERN EUROPE,0.1,1105529195,C
243,Boris Skossyreff,Andorra,SOUTHERN EUROPE,0.1,1114575861,GA
244,Enric Tarrado Vives,Andorra,SOUTHERN EUROPE,0.1,986671433,Stub
245,Alexandre Sebastião André,Angola,MIDDLE AFRICA,35.6,979043156,Stub
246,Isaac Maria dos Anjos,Angola,MIDDLE AFRICA,35.6,1087791055,Stub
247,Paulino Baptista,Angola,MIDDLE AFRICA,35.6,1098277989,Start
248,João Baptista Borges,Angola,MIDDLE AFRICA,35.6,1108136082,Start
249,Branca Manuel Espirito Santo,Angola,MIDDLE AFRICA,35.6,1082903108,Stub
250,André Luís Brandão,Angola,MIDDLE AFRICA,35.6,1092527809,Stub
251,André Gaspar Mendes de Carvalho,Angola,MIDDLE AFRICA,35.6,871672690,Stub
252,Carolina Cerqueira,Angola,MIDDLE AFRICA,35.6,1081277226,C
253,Arlete Chimbinda,Angola,MIDDLE AFRICA,35.6,1101656146,Start
254,Kafundanga Chingunji,Angola,MIDDLE AFRICA,35.6,1111470901,Stub
255,Jeremias Chitunda,Angola,MIDDLE AFRICA,35.6,1076646666,Start
256,Abel Chivukuvuku,Angola,MIDDLE AFRICA,35.6,987997249,Start
257,Adalberto Costa Júnior,Angola,MIDDLE AFRICA,35.6,1107102259,Stub
258,Adjany Costa,Angola,MIDDLE AFRICA,35.6,1081302172,Start
259,Álvaro Arnaldo Craveiro,Angola,MIDDLE AFRICA,35.6,1112653739,Stub
260,Raul Danda,Angola,MIDDLE AFRICA,35.6,1099408586,Stub
261,Carlos António Fernandes,Angola,MIDDLE AFRICA,35.6,1003396569,Stub
262,Fiel Domingos Constantino,Angola,MIDDLE AFRICA,35.6,1082902869,Stub
263,Abraão Gourgel,Angola,MIDDLE AFRICA,35.6,1080440646,Stub
264,Maria Monteiro Jardin,Angola,MIDDLE AFRICA,35.6,1095470855,Stub
265,José da Rocha,Angola,MIDDLE AFRICA,35.6,1094974511,Stub
266,Mateus de Brito Júnior,Angola,MIDDLE AFRICA,35.6,1054271575,Stub
267,Kambamba Kulaxingo,Angola,MIDDLE AFRICA,35.6,1093124425,Stub
268,Abel Xavier Nzuzi Lubota,Angola,MIDDLE AFRICA,35.6,1080325199,Stub
269,David Mendes,Angola,MIDDLE AFRICA,35.6,1024544204,Stub
270,Fernando Faustino Muteka,Angola,MIDDLE AFRICA,35.6,1079490106,Stub
271,José Ndele,Angola,MIDDLE AFRICA,35.6,1101583647,Stub
272,Daniel Ntongi-Nzinga,Angola,MIDDLE AFRICA,35.6,848334573,Stub
273,Pedro Tonho Pedale,Angola,MIDDLE AFRICA,35.6,1113903559,Stub
274,Elias Salupeto Pena,Angola,MIDDLE AFRICA,35.6,994023688,Stub
275,Pinda Simão,Angola,MIDDLE AFRICA,35.6,1115384278,Stub
276,Johnny Eduardo Pinnock,Angola,MIDDLE AFRICA,35.6,992923654,Stub
277,Santana André Pitra,Angola,MIDDLE AFRICA,35.6,886771177,Stub
278,José Aníbal Lopes Rocha,Angola,MIDDLE AFRICA,35.6,985054758,Stub
279,Luís Gomes Sambo,Angola,MIDDLE AFRICA,35.6,1114131425,Start
280,José Filomeno dos Santos,Angola,MIDDLE AFRICA,35.6,1111269228,Start
281,Jonas Savimbi,Angola,MIDDLE AFRICA,35.6,1110987217,C
282,Manuel Bernardo de Sousa,Angola,MIDDLE AFRICA,35.6,886461023,Stub
283,Augusto da Silva Tomás,Angola,MIDDLE AFRICA,35.6,1112407992,Stub
284,Luzia Inglês Van-Dúnem,Angola,MIDDLE AFRICA,35.6,1067323463,Start
285,Manuel Vicente,Angola,MIDDLE AFRICA,35.6,1106406859,C
286,Mfulupinga Nlando Victor,Angola,MIDDLE AFRICA,35.6,994085067,Start
287,Randolph Beazer,Antigua and Barbuda,CARIBBEAN,0.1,1094157275,Stub
